CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
,PIMCO New York Municipal Income Fund III of Beneficial Interest,"PIMCO New York Municipal Income Fund III is a United States based closed-end management investment company. Its investment objective is to seek to provide current income exempt from federal, New York State and New York City income tax.",New York Stock Exchange,Asset Management,cs,Financial Services,PYN,"['Financial Services', 'Asset Management']",http://www.pimco.com
Daniel H. Schulman,PayPal Holdings Inc.,"PayPal Holdings Inc is a technology platform company that enables digital and mobile payments on behalf of consumers and merchants. The company's payments platform includes PayPal, PayPal Credit, Venmo, Xoom and Braintree products.",Nasdaq Global Select,Credit Services,cs,Financial Services,PYPL,"['Financial Services', 'Credit Services']",https://www.paypal.com
J. Pieter Sikkel,Pyxus International Inc.,"Alliance One International Inc is engaged in purchasing, processing, packaging, storing and shipping of leaf tobacco and other consumer tobacco products.",New York Stock Exchange,Tobacco Products,cs,Consumer Defensive,PYX,"['Consumer Defensive', 'Tobacco', 'Tobacco Products']",http://www.aointl.com
Peter G. Strelow,PIMCO California Municipal Income Fund III of Beneficial Interest,PIMCO CA Muni Income Fund III operates as a closed-end management investment company. The investment objective of the fund is to seek to provide current income exempt from federal and California income tax.,New York Stock Exchange,Asset Management,cs,Financial Services,PZC,"['Financial Services', 'Asset Management']",http://www.pimco.com
Glen Van Treek,Paramount Gold Nevada Corp.,Paramount Gold Nevada Corp is an exploration stage mining company with projects in Nevada and northern Mexico. The Company acquires and develops known precious metals deposits in large-scale geological environments in North America.,NYSE American,Metals & Mining,cs,Basic Materials,PZG,"['Basic Materials', 'Industrial Metals & Minerals', 'Metals & Mining']",http://www.paramountnevada.com
Richard S. Pzena,Pzena Investment Management Inc Class A,Pzena Investment Management Inc is a global investment management firm that employs a value investment approach. It provides investment management and advisory services to funds in both U.S. and non-U.S. capital markets.,New York Stock Exchange,Asset Management,cs,Financial Services,PZN,"['Financial Services', 'Asset Management']",http://www.pzena.com
Steve Ritchie,Papa John's International Inc.,"Papa John's International Inc operates and franchises pizza delivery and carryout restaurants activities. The company also operates dine-in and delivery restaurants under the trademark ""Papa John's"".",Nasdaq Global Select,Restaurants,cs,Consumer Cyclical,PZZA,"['Consumer Cyclical', 'Restaurants']",http://www.papajohns.com
Anton Chilton,QAD Inc.,"QAD Inc provides enterprise software solutions for manufacturing companies across the automotive, life sciences, consumer products, food and beverage, high technology and industrial products industries.",Nasdaq Global Select,Application Software,cs,Technology,QADA,"['Technology', 'Software - Application', 'Application Software']",http://www.qad.com
Anton Chilton,QAD Inc.,"QAD Inc provides enterprise software solutions for manufacturing companies across the automotive, life sciences, consumer products, food and beverage, high technology and industrial products industries.",Nasdaq Global Select,Application Software,cs,Technology,QADB,"['Technology', 'Software - Application', 'Application Software']",http://www.qad.com
Steven N. Bronson,Qualstar Corporation,Qualstar Corp is a U.S based provider of data storage systems marketed under the Qualstar brand and of power solutions marketed under the N2Power brand.,NASDAQ Capital Market,Computer Hardware,cs,Technology,QBAK,"['Technology', 'Electronic Components', 'Computer Hardware']",http://www.qualstar.com
Steven M. Mollenkopf,QUALCOMM Incorporated,"Qualcomm Inc develops and licenses wireless technology. It also engages in designing chips for mobile phones. The company is also the world's largest wireless chip vendor, supplying many premier handset makers with leading-edge processors.",Nasdaq Global Select,Semiconductors,cs,Technology,QCOM,"['Technology', 'Semiconductors']",http://www.qualcomm.com
Douglas M. Hultquist,QCR Holdings Inc.,"QCR Holdings Inc is engaged in the financial service sector. As a banking firm, subsidiaries it provides commercial and consumer banking, & trust & asset management services.",NASDAQ Global Market,Banks,cs,Financial Services,QCRH,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.qcrh.com
Min Luo,Qudian Inc. American Depositary Shares each representing one Class A,"Qudian Inc is engaged in the operation of online platforms to provide small cash credit products in China. It uses big data-enabled technologies, such as artificial intelligence and machine learning, to transform the consumer finance experience in China.",New York Stock Exchange,Credit Services,cs,Financial Services,QD,"['Financial Services', 'Credit Services']",http://www.qudian.com
Douglas C. Bryant,Quidel Corporation,"Quidel Corp is engaged in the development, manufacturing, and marketing of rapid diagnostic testing solutions. It includes applications in infectious diseases, women's health, gastrointestinal diseases, and others.",Nasdaq Global Select,Medical Diagnostics & Research,cs,Healthcare,QDEL,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.quidel.com
Charles B. Stanley,QEP Resources Inc.,"QEP Resources Inc is a crude oil and natural gas exploration and production company focused in two regions of the United States: the Northern Region (North Dakota, Wyoming and Utah) and the Southern Region (Texas and Louisiana).",New York Stock Exchange,Oil & Gas - Integrated,cs,Energy,QEP,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']",http://www.qepres.com
Rogers Herndon,Quintana Energy Services Inc.,Quintana Energy Services Inc provides diversified oilfield services to onshore oil and natural gas E&P (Exploration and Production) companies operating in both conventional and unconventional plays in all the active major basins throughout the U.S.,New York Stock Exchange,Oil & Gas - Services,cs,Energy,QES,"['Energy', 'Oil & Gas Equipment & Services', 'Oil & Gas - Services']",http://www.quintanaenergyservices.com
Jun Xu,360 Finance Inc.,,NASDAQ Global Market,Credit Services,cs,Financial Services,QFIN,"['Financial Services', 'Credit Services']",http://www.360jie.com.cn
Peer M. Schatz,Qiagen N.V.,"Qiagen NV provides sample and assay technologies to extract, purify, amplify, and interpret DNA (Deoxyribonucleic acid), RNA (Ribonucleic acid), and proteins. It also offers kits, assays, related automated systems and bioinformatics solutions.",New York Stock Exchange,Medical Diagnostics & Research,cs,Healthcare,QGEN,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.qiagen.com
Robert H. Fish,Quorum Health Corporation,"Quorum Health Corp along with its subsidiaries owns and operates hospitals. Its hospital provides services including general acute care, emergency room, general & specialty surgery, medicine, obstetrics, diagnostic, psychiatric & rehabilitation services.",New York Stock Exchange,Health Care Providers,cs,Healthcare,QHC,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.quorumhealth.com
Sergey Solonin,QIWI plc,QIWI PLC along with its subsidiaries is engaged in operating electronic online payment systems in Russia and sells electronic payment kiosks and maintains banking activity supporting processing of payments.,Nasdaq Global Select,Credit Services,cs,Financial Services,QIWI,"['Financial Services', 'Credit Services']",https://www.qiwi.com
Philippe F. Courtot,Qualys Inc.,"Qualys Inc provides cloud security and compliance solutions to organizations identifying security risks to their IT infrastructures, to protect their IT systems from cyber-attacks and achieve compliance with internal policies and external regulations.",Nasdaq Global Select,Application Software,cs,Technology,QLYS,"['Technology', 'Software - Application', 'Application Software']",http://www.qualys.com
Douglas Valenti,QuinStreet Inc.,"QuinStreet Inc is an online marketing and media company that delivers qualified clicks and inquiries at low cost with great scalability. The company's operations and revenue are in North America, but has emerging businesses in Brazil and India.",Nasdaq Global Select,Online Media,cs,Technology,QNST,"['Technology', 'Internet Content & Information', 'Online Media']",http://www.quinstreet.com
,Nuveen NASDAQ 100 Dynamic Overwrite Fund,"The Fund intends to pursue its investment objective principally through a two-part strategy, namely The NASDAQ Investment Portfolio and The Option Strategies. Firstly, the Fund will invest, under normal circumstances, substantially all of its net assets in a portfolio of investments (NASDAQ Investment Portfolio) designed to closely track the performance, before fees and expenses, of the NASDAQ 100ª Index. The NASDAQ Investment Portfolio may include stocks that are members of the Index, stocks which are not members of the Index, and other investments that have economic characteristics similar to the securities that constitute the Index. These other investments may include futures, forwards, swaps, option contracts based on the Index and options on futures and swaps, as well as investment funds or baskets of securities with a composition similar to all or a portion of the Index. Secondly, in attempting to generate premium income and reduce the volatility of the Funds returns, with the intent of improving the Funds risk-adjusted returns, the Fund will write (sell) call options on the Index (Written Options) that are fully collateralized by the NASDAQ Investment Portfolio. Under normal circumstances, the notional value of the Written Options is not expected to exceed 50% of the Funds net assets.",Nasdaq Global Select,Asset Management,cs,Financial Services,QQQX,"['Financial Services', 'Asset Management']",https://www.nuveen.com
S. Ray Hatch,Quest Resource Holding Corporation.,"Quest Resource Holding Corporation provides one-stop management programs to reuse, recycle, and dispose of a wide variety of waste streams and recyclables generated by the client's business.",NASDAQ Capital Market,Waste Management,cs,Industrials,QRHC,"['Industrials', 'Waste Management']",http://www.qrhc.com
Michael A. George,Qurate Retail Inc. Series A Common Stock,"Qurate Retail Inc, formerly QVC Group is engaged in the video and on-line commerce industries in North America, Europe and Asia. It markets and sells consumer products by means of its televised shopping programs and through the Internet.",Nasdaq Global Select,Retail - Apparel & Specialty,cs,Consumer Cyclical,QRTEA,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.libertyinteractive.com
Michael A. George,Qurate Retail Inc. Series B Common Stock,"Qurate Retail Inc, formerly QVC Group is engaged in the video and on-line commerce industries in North America, Europe and Asia. It markets and sells consumer products by means of its televised shopping programs and through the Internet.",Nasdaq Global Select,Retail - Apparel & Specialty,cs,Consumer Cyclical,QRTEB,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.libertyinteractive.com
Robert A. Bruggeworth,Qorvo Inc.,"Qorvo Inc is a semiconductor product manufacturer. It sells its products to companies engaged in the telecommunication, infrastructure and defense industries.",Nasdaq Global Select,Semiconductors,cs,Technology,QRVO,"['Technology', 'Semiconductors']",http://www.qorvo.com
Daniel Schwartz,Restaurant Brands International Inc.,"Restaurant Brands International Inc is a quick service restaurant company. It owns and operates restaurants brands include Burger King, Tim Hortons, and Popeyes Louisiana Kitchen.",New York Stock Exchange,Restaurants,cs,Consumer Cyclical,QSR,"['Consumer Cyclical', 'Restaurants']",http://www.rbi.com
James J. Lerner,Quantum Corporation,"Quantum Corp provides storage, archive and data protection solutions for capturing, sharing, and preserving digital assets over the entire data lifecycle.",New York Stock Exchange,Computer Hardware,cs,Technology,QTM,"['Technology', 'Data Storage', 'Computer Hardware']",http://www.quantum.com
Sam Heidari,Quantenna Communications Inc.,"Quantenna Communications Inc is engaged in the design, development, and marketing of high-speed wireless communication solutions enabling wireless local area networking.",Nasdaq Global Select,Semiconductors,cs,Technology,QTNA,"['Technology', 'Semiconductors']",http://www.quantenna.com
Franz Walt,Quotient Limited,Quotient Ltd is a commercial-stage diagnostics company engaged in reducing healthcare costs and improving patient care with focus in blood grouping and donor disease screening.,NASDAQ Global Market,Medical Diagnostics & Research,cs,Healthcare,QTNT,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.quotientbd.com
Douglas M. Parker,Quarterhill Inc.,"Quarterhill Inc is a diversified investment holding company focused on acquiring technology companies in the Industrial Internet of Things segment. It targets companies which capture, analyze and interpret data.",Nasdaq Global Select,Communication Equipment,cs,Technology,QTRH,"['Technology', 'Communication Equipment']",http://www.quarterhill.com
E. Kevin Hrusovsky,Quanterix Corporation,Quanterix Corp is a life science company. The company digitizing biomarker analysis with the goal of advancing the science of precision health.,NASDAQ Global Market,Biotechnology,cs,Healthcare,QTRX,"['Healthcare', 'Biotechnology']",https://www.quanterix.com
Chad L. Williams,QTS Realty Trust Inc. Class A,"QTS Realty Trust Inc is a real estate investment trust in the United States. Its properties mainly include data centers which are mainly located in the United States and in other locations such as Canada, Europe, and Asia.",New York Stock Exchange,REITs,cs,Real Estate,QTS,"['Real Estate', 'REIT - Industrial', 'REITs']",http://www.qtsdatacenters.com
Lei Li,Qutoutiao Inc.,,Nasdaq Global Select,Online Media,cs,Technology,QTT,"['Technology', 'Internet Content & Information', 'Online Media']",http://www.qutoutiao.net
Matthew P. Flake,Q2 Holdings Inc.,"Q2 Holdings Inc is a provider of secure, cloud-based virtual banking solutions. It enables regional and community financial institutions to deliver a range of virtual banking services.",New York Stock Exchange,Application Software,cs,Technology,QTWO,"['Technology', 'Software - Infrastructure', 'Application Software']",https://www.q2ebanking.com
J. Quadracci,Quad Graphics Inc Class A,"Quad/Graphics Inc is a US based marketing services provider. It helps brand owners market their products, services and content by using its strong print foundation in combination with other media channels.",New York Stock Exchange,Business Services,cs,Industrials,QUAD,"['Industrials', 'Business Services']",http://www.qg.com
Brian C. Faith,QuickLogic Corporation,"QuickLogic Corp is engaged in developing and marketing semiconductor and software algorithm solutions for mobile and portable electronics. Its solutions fall into three categories: Sensor Processing, Display and Visual Enhancement, and Smart connectivity.",NASDAQ Global Market,Semiconductors,cs,Technology,QUIK,"['Technology', 'Semiconductors']",http://www.quicklogic.com
Vern Hanzlik,Qumu Corporation,"Qumu Corp is an enterprise video content management software company. It is engaged in providing tools businesses needs to create, manage, secure, deliver and measure their videos.",NASDAQ Capital Market,Application Software,cs,Technology,QUMU,"['Technology', 'Software - Application', 'Application Software']",http://www.qumu.com
Mir Aamir,Quotient Technology Inc.,Quotient Technology Inc provides digital promotions and media solutions. The company offers digital platform that enables consumer packaged goods (CPG) brands and retailers to engage shoppers through personalized and targeted promotions and media.,New York Stock Exchange,Advertising & Marketing Services,cs,Consumer Cyclical,QUOT,"['Consumer Cyclical', 'Marketing Services', 'Advertising & Marketing Services']",http://www.couponsinc.com
Matthew C. Kapusta,uniQure N.V.,"uniQure NV is engaged in the field of gene therapy platform across three therapeutic focus areas: Liver/Metabolic Disease, Central Nervous System (CNS) Disease and Cardiovascular Disease.",Nasdaq Global Select,Biotechnology,cs,Healthcare,QURE,"['Healthcare', 'Biotechnology']",http://www.uniqure.com
Robert E. Sanchez,Ryder System Inc.,"Ryder System Inc is engaged in supply chain activities. Its services include transportation, supply chain and fleet management solutions.",New York Stock Exchange,Consulting & Outsourcing,cs,Industrials,R,"['Industrials', 'Rental & Leasing Services', 'Consulting & Outsourcing']",http://www.ryder.com
Craig Noble,Brookfield Real Assets Income Fund Inc.,"Brookfield Real Assets Income Fund Inc. is a diversified, closed-end management investment company. Its investment objective is to seek high total return, primarily through high current income and secondarily, through growth of capital.",New York Stock Exchange,Asset Management,cs,Financial Services,RA,"['Financial Services', 'Asset Management']",https://www.brookfield.com
Sergio Marchionne,Ferrari N.V.,"Ferrari NV is a designer and manufacturer of luxury performance sports cars under the brand name of Ferrari. Its sports cars portfolio includes F12berlinetta, FF, Ferrari 488 GTB, 488 Spider, 458 Speciale, Ferrari California, among others.",New York Stock Exchange,Autos,cs,Consumer Cyclical,RACE,"['Consumer Cyclical', 'Auto Manufacturers', 'Autos']",http://www.ferrari.com
John T. Standley,Rite Aid Corporation,Rite Aid Corp operates retail drugstore chains in the United States. The business activity of the group is functioned through two segments namely Retail Pharmacy & Pharmacy Services. It generates a majority of its revenue from the Retail Pharmacy segment.,New York Stock Exchange,Retail - Defensive,cs,Consumer Defensive,RAD,"['Consumer Defensive', 'Pharmaceutical Retailers', 'Retail - Defensive']",http://www.riteaid.com
Dov Sella,RADA Electronic Industries Ltd.,"Rada Electronics Industries Ltd develops, manufactures & sells defense electronics including, avionics solutions, airborne data/video recording & management systems, inertial navigation systems & land radars for defense forces & border protection systems.",NASDAQ Capital Market,Aerospace & Defense,cs,Industrials,RADA,"['Industrials', 'Aerospace & Defense']",http://www.rada.com
James R. Meyer,Freightcar America Inc.,FreightCar America Inc is a manufacturer of aluminum-bodied railcars in North America. The Company specializes in production of coal cars.,Nasdaq Global Select,Transportation & Logistics,cs,Industrials,RAIL,"['Industrials', 'Railroads', 'Transportation & Logistics']",http://www.freightcaramerica.com
Scott E. Howe,LiveRamp Holdings Inc.,"Acxiom Corp is an enterprise data, analytics and software-as-a-service company. Its business segments include Marketing Services, Audience Solutions and Connectivity.",New York Stock Exchange,Application Software,cs,Technology,RAMP,"['Technology', 'Information Technology Services', 'Application Software']",https://www.liveramp.com
Allen Grum,Rand Capital Corporation,"Rand Capital Corp is an internally managed investment company that lends to and invests in small and medium-sized companies in connection with other investors. It invests in financial instruments such as equity instruments, debt instruments, among others.",NASDAQ Capital Market,Asset Management,cs,Financial Services,RAND,"['Financial Services', 'Asset Management']",http://www.randcapital.com
Emil D. Kakkis,Ultragenyx Pharmaceutical Inc.,"Ultragenyx Pharmaceutical Inc is biopharmaceutical company. It is engaged identification, acquisition, development and commercialization of novel products for treatment of rare & ultra-rare diseases, with a focus on debilitating genetic diseases.",Nasdaq Global Select,Biotechnology,cs,Healthcare,RARE,"['Healthcare', 'Biotechnology']",http://www.ultragenyx.com
Douglas A. Treco,Ra Pharmaceuticals Inc.,Ra Pharmaceuticals Inc is a clinical-stage biopharmaceutical company. It discovers and develops therapeutics for the treatment of diseases caused by excessive or uncontrolled activation of the complement system.,NASDAQ Global Market,Biotechnology,cs,Healthcare,RARX,"['Healthcare', 'Biotechnology']",http://www.rapharma.com
Scott Crane,Rave Restaurant Group Inc.,"Rave Restaurant Group Inc operates and franchises pizza buffet, delivery/carry-out & express restaurants domestically and internationally under the trademark Pizza Inn and operates domestic fast casual pizza restaurants.",NASDAQ Capital Market,Restaurants,cs,Consumer Cyclical,RAVE,"['Consumer Cyclical', 'Restaurants']",http://www.raverg.com
Daniel A. Rykhus,Raven Industries Inc.,"Raven Industries Inc is a diversified technology company providing products to customers within the industrial, agricultural, energy, construction, and defense markets.",Nasdaq Global Select,Industrial Products,cs,Industrials,RAVN,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.ravenind.com
Ravichandra K. Saligram,Ritchie Bros. Auctioneers Incorporated,"Ritchie Bros Auctioneers Inc is an industrial auctioneer and used equipment distributor. It sells a broad range of used and unused equipment, including trucks, construction and heavy machinery and other assets.",New York Stock Exchange,Business Services,cs,Industrials,RBA,"['Industrials', 'Business Services']",https://www.rbauction.com
Yee Phong Thian,RBB Bancorp,"RBB Bancorp is a bank holding company of the Royal Business Bank. The company is based in Los Angeles, California.",Nasdaq Global Select,Banks,cs,Financial Services,RBB,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.royalbusinessbankusa.com
Franklin W. Hobbs,Ribbon Communications Inc.,"Ribbon Communications Inc is a real-time communications company. It is a provider of network solutions to telecommunications, wireless and cable service providers and enterprises across industry verticals.",Nasdaq Global Select,Communication Services,cs,Communication Services,RBBN,"['Communication Services', 'Telecom Services']",https://www.ribboncommunications.com
Mark J. Gliebe,Regal Beloit Corporation,"Regal Beloit Corp is a manufacturer of electric motors , electrical motion controls,power generation and power transmission products.",New York Stock Exchange,Industrial Products,cs,Industrials,RBC,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.regalbeloit.com
Steven Trager,Republic Bancorp Inc. Class A Common Stock,"Republic Bancorp Inc is a financial holding company. The company along with its subsidiaries provide property and casualty insurance coverage and also is in directing, planning and coordinating the business activities.",Nasdaq Global Select,Banks,cs,Financial Services,RBCAA,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.republicbank.com
Timothy Brog,Rubicon Technology Inc.,"Rubicon Technology Inc is an electronic materials provider that develops, manufactures and sells monocrystalline sapphire and other crystalline products for LEDs, RFICs, blue laser diodes, optoelectronics and other optical applications.",NASDAQ Capital Market,Semiconductors,cs,Technology,RBCN,"['Technology', 'Semiconductor Equipment & Materials', 'Semiconductors']",http://www.rubicontechnology.com
DeVan D. Ard,Reliant Bancorp Inc.,Reliant Bancorp Inc provides a full range of traditional banking services throughout the Middle Tennessee Region and the Nashville-Davidson-Murfreesboro-Franklin Metropolitan Statistical Area.,NASDAQ Capital Market,Banks,cs,Financial Services,RBNC,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.reliantbank.com
Ross McEwan,Royal Bank of Scotland Group Plc New (The) ADS,"The Royal Bank of Scotland Group PLC is an international banking and financial services company. It provides banking products and services to personal, commercial and large corporate and institutional customers.",New York Stock Exchange,Banks,cs,Financial Services,RBS,"['Financial Services', 'Banks - Global', 'Banks']",http://www.rbs.com
Thomas E. Capasse,Ready Capital Corproation,"Sutherland Asset Management Corp is a real estate finance company that acquires, originates, manages, services and finances small balance commercial loans, Small Business Administration loans, residential mortgage loans, and mortgage-backed securities.",New York Stock Exchange,REITs,cs,Real Estate,RC,"['Real Estate', 'REIT - Diversified', 'REITs']",https://www.sutherlandam.com
Murray Stahl,RENN Fund Inc,"RENN Fund Inc is a registered non-diversified, closed-end fund focuses on investing in emerging publicly-traded growth companies.",NYSE American,Asset Management,cs,Financial Services,RCG,"['Financial Services', 'Asset Management']",http://www.rencapital.com
Joseph M. Natale,Rogers Communication Inc.,"Rogers Communications Inc is the largest wireless carrier in Canada. The company provides cable network, Internet access, TV, and phone services. Through its subsidiaries it owns the Sportsnet TV network.",New York Stock Exchange,Communication Services,cs,Communication Services,RCI,"['Communication Services', 'Telecom Services']",http://www.rogers.com
Mitchell E. Fadel,Rent-A-Center Inc.,"Rent-A-Center Inc is prevalent in the rental business in North America. It offers durable products, such as consumer electronics, appliances, computers and smartphones.",Nasdaq Global Select,Consulting & Outsourcing,cs,Industrials,RCII,"['Industrials', 'Rental & Leasing Services', 'Consulting & Outsourcing']",http://www.rentacenter.com
Gaurav Shah,Rocket Pharmaceuticals Inc.,"Rocket Pharmaceuticals Inc, formerly Inotek Pharmaceuticals Corp, is a clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of therapies for glaucoma and other diseases of the eye.",NASDAQ Global Market,Biotechnology,cs,Healthcare,RCKT,"['Healthcare', 'Biotechnology']",http://www.rocketpharma.com
Jason Brooks,Rocky Brands Inc.,"Rocky Brands Inc is a designer, manufacturer and marketer of footwear and apparel marketed under a portfolio of brand names including Rocky, Georgia Boot, Durango, Lehigh, Creative Recreation and the licensed brand Michelin.",Nasdaq Global Select,Manufacturing - Apparel & Furniture,cs,Consumer Cyclical,RCKY,"['Consumer Cyclical', 'Footwear & Accessories', 'Manufacturing - Apparel & Furniture']",http://www.rockybrands.com
Richard D. Fain,Royal Caribbean Cruises Ltd.,"Royal Caribbean Cruises Ltd is a global cruise company. It owns and operates three global cruise brands: Royal Caribbean International, Celebrity Cruises and Azamara Club Cruises.",New York Stock Exchange,Travel & Leisure,cs,Consumer Cyclical,RCL,"['Consumer Cyclical', 'Leisure', 'Travel & Leisure']",http://www.rclcorporate.com
Joseph Gerard Flanagan,R1 RCM Inc.,"R1 RCM Inc provides management services to hospitals, physicians and other healthcare providers across US. The company offers services to efficiently manage cycle operations such as patient registration, insurance, and medical treatment documentation.",Nasdaq Global Select,Application Software,cs,Technology,RCM,"['Technology', 'Health Information Services', 'Application Software']",http://www.r1rcm.com
,RCM Technologies Inc.,RCM Technologies Inc is a provider of business and technology solutions designed to enhance and maximize the operational performance of its customers through the adaptation and deployment of advanced engineering and information technology services.,NASDAQ Global Market,Engineering & Construction,cs,Industrials,RCMT,"['Industrials', 'Engineering & Construction']",http://www.rcmt.com
Shenping Yin,Recon Technology Ltd.,"Recon Technology Ltd provides oilfield specialized equipment, automation systems, tools, chemicals and field services to petroleum companies mainly in the People's Republic of China.",NASDAQ Capital Market,Oil & Gas - Services,cs,Energy,RCON,"['Energy', 'Oil & Gas Equipment & Services', 'Oil & Gas - Services']",http://www.recon.cn
Peter G. Strelow,PIMCO Strategic Income Fund Inc.,PIMCO Strategic Global Government Fund operates as a closed-end management investment company. Its primary investment objective is to achieve high current income and secondary objective is capital gains from disposition of investments.,New York Stock Exchange,Asset Management,cs,Financial Services,RCS,"['Financial Services', 'Asset Management']",http://www.pimco.com
Terry Rosen,Arcus Biosciences Inc.,Arcus Biosciences Inc is a clinical-stage biopharmaceutical company which focuses on developing and commercializing cancer immunotherapies.,New York Stock Exchange,Biotechnology,cs,Healthcare,RCUS,"['Healthcare', 'Biotechnology']",https://www.arcusbio.com
Thomas Peter Burke,Rowan Companies plc Class A,Rowan Companies PLC is an offshore drilling contractor firm. The company engages in drilling oil and gas properties on contractual basis and mainly serves the petroleum industry.,New York Stock Exchange,Oil & Gas - Drilling,cs,Energy,RDC,"['Energy', 'Oil & Gas Drilling', 'Oil & Gas - Drilling']",http://www.rowancompanies.com
Yaron Ravkaie,Radcom Ltd.,Radcom Ltd provides service assurance and customer experience management solutions for leading telecom operators and communication service providers. It specializes in solutions for next generation mobile and fixed networks and mobile broadband.,NASDAQ Capital Market,Communication Services,cs,Communication Services,RDCM,"['Communication Services', 'Telecom Services']",http://www.radcom.com
Glenn Kelman,Redfin Corporation,Redfin Corp is a technology-powered residential real estate brokerage company. It represents people buying and selling homes in over 80 markets throughout the United States.,Nasdaq Global Select,Real Estate Services,cs,Real Estate,RDFN,"['Real Estate', 'Real Estate Services']",http://www.redfin.com
Dror Ben-Asher,Redhill Biopharma Ltd.,"Redhill Biopharma Ltd is a specialty biopharmaceutical company, primarily focused on the development and commercialization of late clinical-stage, proprietary drugs for the treatment of gastrointestinal diseases and cancer.",NASDAQ Global Market,Biotechnology,cs,Healthcare,RDHL,"['Healthcare', 'Biotechnology']",http://www.redhillbio.com
Ellen M. Cotter,Reading International Inc,"Reading International Inc is a diversified company, engaged in the development, ownership and operation of multiplex cinemas and retail and commercial real estate in the United States, Australia and New Zealand.",NASDAQ Capital Market,Entertainment,cs,Consumer Cyclical,RDI,"['Consumer Cyclical', 'Media - Diversified', 'Entertainment']",http://www.readingrdi.com
Ellen M. Cotter,Reading International Inc,"Reading International Inc is a diversified company, engaged in the development, ownership and operation of multiplex cinemas and retail and commercial real estate in the United States, Australia and New Zealand.",NASDAQ Capital Market,Entertainment,cs,Consumer Cyclical,RDIB,"['Consumer Cyclical', 'Media - Diversified', 'Entertainment']",http://www.readingrdi.com
Richard G Thornberry,Radian Group Inc.,Radian Group Inc provides mortgage insurance and products and services to the real estate and mortgage finance industries. It operates with two business segments namely Mortgage Insurance and Services.,New York Stock Exchange,Insurance - Specialty,cs,Financial Services,RDN,"['Financial Services', 'Insurance - Specialty']",http://www.radian.biz
Howard G. Berger,RadNet Inc.,"RadNet Inc is a provider of freestanding, fixed-site outpatient diagnostic imaging services in the United States. Its services include magnetic resonance imaging, computed tomography, positron emission tomography, nuclear medicine, and among others.",NASDAQ Global Market,Medical Diagnostics & Research,cs,Healthcare,RDNT,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.radnet.com
Bernardus van Beurden,Royal Dutch Shell PLC American Depositary Shares (Each representing two Class A),"Royal Dutch Shell PLC is an integrated oil and gas company. The company engages in exploration, production, and refining of oil around the world. It supplies fuel and other chemicals to various industries such as aviation, and marine.",New York Stock Exchange,Oil & Gas - Integrated,cs,Energy,RDS.A,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']",http://www.shell.com
Bernardus van Beurden,Royal Dutch Shell PLC American Depositary Shares (Each representing two Class B),"Royal Dutch Shell PLC is an integrated oil and gas company. The company engages in exploration, production, and refining of oil around the world. It supplies fuel and other chemicals to various industries such as aviation, and marine.",New York Stock Exchange,Oil & Gas - Integrated,cs,Energy,RDS.B,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']",http://www.shell.com
Jesper Hoiland,Radius Health Inc.,Radius Health Inc is a science-driven biopharmaceutical company engaged in developing new therapeutics for patients with osteoporosis and other serious endocrine-mediated diseases.,NASDAQ Global Market,Drug Manufacturers,cs,Healthcare,RDUS,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.radiuspharm.com
Derek Dubner,Red Violet Inc.,"Red Violet Inc is a United States based software and services company. It specializes in big data analysis, providing cloud-based, mission-critical information solutions to enterprises in a variety of industries.",NASDAQ Capital Market,Application Software,cs,Technology,RDVT,"['Technology', 'Software - Application', 'Application Software']",
Roy Zisapel,Radware Ltd.,"Radware Ltd is a provider of cyber security and application delivery solutions designed to secure the user digital experience from applications in virtual, cloud and software defined data centers.",Nasdaq Global Select,Communication Equipment,cs,Technology,RDWR,"['Technology', 'Communication Equipment']",http://www.radware.com
G.V. V. Prasad,Dr. Reddy's Laboratories Ltd,Dr Reddy's Laboratories Ltd is associated with the healthcare sector. Its core business includes the manufacturing of pharmaceutical products.,New York Stock Exchange,Drug Manufacturers,cs,Healthcare,RDY,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.drreddys.com
